"","Date","Policy_Rate"
"1",1995-01-01,8.38
"2",1995-02-01,8.38
"3",1995-03-01,8.47
"4",1995-04-01,8.17
"5",1995-05-01,7.64
"6",1995-06-01,6.97
"7",1995-07-01,6.87
"8",1995-08-01,6.59
"9",1995-09-01,6.71
"10",1995-10-01,7.65
"11",1995-11-01,6.07
"12",1995-12-01,5.79
"13",1996-01-01,5.37
"14",1996-02-01,5.5
"15",1996-03-01,5.25
"16",1996-04-01,5
"17",1996-05-01,5
"18",1996-06-01,5
"19",1996-07-01,4.75
"20",1996-08-01,4.25
"21",1996-09-01,4.25
"22",1996-10-01,3.5
"23",1996-11-01,3.25
"24",1996-12-01,3.25
"25",1997-01-01,3.25
"26",1997-02-01,3.25
"27",1997-03-01,3.25
"28",1997-04-01,3.25
"29",1997-05-01,3.25
"30",1997-06-01,3.25
"31",1997-07-01,3.5
"32",1997-08-01,3.5
"33",1997-09-01,3.5
"34",1997-10-01,3.75
"35",1997-11-01,4
"36",1997-12-01,4.5
"37",1998-01-01,4.5
"38",1998-02-01,5
"39",1998-03-01,5
"40",1998-04-01,5
"41",1998-05-01,5
"42",1998-06-01,5
"43",1998-07-01,5
"44",1998-08-01,5
"45",1998-09-01,5.75
"46",1998-10-01,5.5
"47",1998-11-01,5.25
"48",1998-12-01,5.25
"49",1999-01-01,5.25
"50",1999-02-01,5.25
"51",1999-03-01,5
"52",1999-04-01,5
"53",1999-05-01,4.75
"54",1999-06-01,4.75
"55",1999-07-01,4.75
"56",1999-08-01,4.75
"57",1999-09-01,4.75
"58",1999-10-01,4.75
"59",1999-11-01,5
"60",1999-12-01,5
"61",2000-01-01,5
"62",2000-02-01,5.25
"63",2000-03-01,5.5
"64",2000-04-01,5.5
"65",2000-05-01,6
"66",2000-06-01,6
"67",2000-07-01,6
"68",2000-08-01,6
"69",2000-09-01,6
"70",2000-10-01,6
"71",2000-11-01,6
"72",2000-12-01,6
"73",2001-01-01,5.75
"74",2001-02-01,5.75
"75",2001-03-01,5.25
"76",2001-04-01,5
"77",2001-05-01,4.75
"78",2001-06-01,4.75
"79",2001-07-01,4.5
"80",2001-08-01,4.25
"81",2001-09-01,3.75
"82",2001-10-01,3
"83",2001-11-01,2.5
"84",2001-12-01,2.5
"85",2002-01-01,2.25
"86",2002-02-01,2.25
"87",2002-03-01,2.25
"88",2002-04-01,2.5
"89",2002-05-01,2.5
"90",2002-06-01,2.75
"91",2002-07-01,3
"92",2002-08-01,3
"93",2002-09-01,3
"94",2002-10-01,3
"95",2002-11-01,3
"96",2002-12-01,3
"97",2003-01-01,3
"98",2003-02-01,3
"99",2003-03-01,3.25
"100",2003-04-01,3.5
"101",2003-05-01,3.5
"102",2003-06-01,3.5
"103",2003-07-01,3.25
"104",2003-08-01,3.25
"105",2003-09-01,3
"106",2003-10-01,3
"107",2003-11-01,3
"108",2003-12-01,3
"109",2004-01-01,2.75
"110",2004-02-01,2.75
"111",2004-03-01,2.5
"112",2004-04-01,2.25
"113",2004-05-01,2.25
"114",2004-06-01,2.25
"115",2004-07-01,2.25
"116",2004-08-01,2.25
"117",2004-09-01,2.5
"118",2004-10-01,2.75
"119",2004-11-01,2.75
"120",2004-12-01,2.75
"121",2005-01-01,2.75
