"","Date","CPI_Trim","Total_CPI"
"1",1996-01-01,1.5,1.6
"2",1996-02-01,1.5,1.3
"3",1996-03-01,1.4,1.5
"4",1996-04-01,1.2,1.4
"5",1996-05-01,1.2,1.5
"6",1996-06-01,1.2,1.5
"7",1996-07-01,1.2,1.3
"8",1996-08-01,1.1,1.5
"9",1996-09-01,1.1,1.5
"10",1996-10-01,1.3,1.8
"11",1996-11-01,1.4,1.9
"12",1996-12-01,1.4,2.2
"13",1997-01-01,1.3,2.2
"14",1997-02-01,1.3,2.3
"15",1997-03-01,1.3,1.9
"16",1997-04-01,1.3,1.7
"17",1997-05-01,1.2,1.5
"18",1997-06-01,1.3,1.7
"19",1997-07-01,1.1,1.7
"20",1997-08-01,1.2,1.8
"21",1997-09-01,1.1,1.7
"22",1997-10-01,1,1.5
"23",1997-11-01,0.8,0.9
"24",1997-12-01,0.8,0.8
"25",1998-01-01,1.1,1.1
"26",1998-02-01,1.1,1
"27",1998-03-01,0.9,1
"28",1998-04-01,0.9,0.9
"29",1998-05-01,0.9,1.1
"30",1998-06-01,0.9,1
"31",1998-07-01,1.1,1
"32",1998-08-01,1.1,0.9
"33",1998-09-01,1,0.7
"34",1998-10-01,1.2,1.1
"35",1998-11-01,1.2,1.2
"36",1998-12-01,1.1,1
"37",1999-01-01,1,0.7
"38",1999-02-01,1,0.7
"39",1999-03-01,1.2,1
"40",1999-04-01,1.3,1.6
"41",1999-05-01,1.3,1.5
"42",1999-06-01,1.2,1.6
"43",1999-07-01,1.3,1.9
"44",1999-08-01,1.3,2.1
"45",1999-09-01,1.6,2.6
"46",1999-10-01,1.5,2.3
"47",1999-11-01,1.5,2.2
"48",1999-12-01,1.6,2.6
"49",2000-01-01,1.5,2.2
"50",2000-02-01,1.6,2.7
"51",2000-03-01,1.6,3
"52",2000-04-01,1.5,2.2
"53",2000-05-01,1.6,2.4
"54",2000-06-01,1.8,2.8
"55",2000-07-01,1.8,2.9
"56",2000-08-01,1.9,2.6
"57",2000-09-01,1.8,2.7
"58",2000-10-01,1.9,2.8
"59",2000-11-01,2,3.2
"60",2000-12-01,2.1,3.2
"61",2001-01-01,2.2,3
"62",2001-02-01,2.2,2.9
"63",2001-03-01,2.2,2.4
"64",2001-04-01,2.4,3.5
"65",2001-05-01,2.4,3.9
"66",2001-06-01,2.4,3.4
"67",2001-07-01,2.5,2.7
"68",2001-08-01,2.4,2.8
"69",2001-09-01,2.3,2.6
"70",2001-10-01,2.2,1.9
"71",2001-11-01,1.9,0.6
"72",2001-12-01,1.9,0.7
"73",2002-01-01,2,1.3
"74",2002-02-01,2,1.4
"75",2002-03-01,2,1.9
"76",2002-04-01,2.1,1.7
"77",2002-05-01,2,1.1
"78",2002-06-01,1.9,1.2
"79",2002-07-01,1.9,2.1
"80",2002-08-01,2.1,2.5
"81",2002-09-01,2.1,2.3
"82",2002-10-01,2.1,3.2
"83",2002-11-01,2.3,4.4
"84",2002-12-01,2.2,3.8
"85",2003-01-01,2.2,4.5
"86",2003-02-01,2.3,4.7
"87",2003-03-01,2.2,4.2
"88",2003-04-01,2,2.9
