"","Date","Policy_Rate","CPI_Trim","Total_CPI","Energy"
"1",1999-01-01,5.25,1,0.7,79.5
"2",1999-02-01,5.25,1,0.7,78.9
"3",1999-03-01,5,1.2,1,80
"4",1999-04-01,5,1.3,1.6,83
"5",1999-05-01,4.75,1.3,1.5,83.6
"6",1999-06-01,4.75,1.2,1.6,83
"7",1999-07-01,4.75,1.3,1.9,84.8
"8",1999-08-01,4.75,1.3,2.1,87.8
"9",1999-09-01,4.75,1.6,2.6,89
"10",1999-10-01,4.75,1.5,2.3,90.1
"11",1999-11-01,5,1.5,2.2,89.3
"12",1999-12-01,5,1.6,2.6,91.3
"13",2000-01-01,5,1.5,2.2,91.5
"14",2000-02-01,5.25,1.6,2.7,94.2
"15",2000-03-01,5.5,1.6,3,97.9
"16",2000-04-01,5.5,1.5,2.2,94.3
"17",2000-05-01,6,1.6,2.4,95.4
"18",2000-06-01,6,1.8,2.8,99.1
"19",2000-07-01,6,1.8,2.9,99.9
"20",2000-08-01,6,1.9,2.6,98.2
"21",2000-09-01,6,1.8,2.7,102.5
"22",2000-10-01,6,1.9,2.8,103.8
"23",2000-11-01,6,2,3.2,105.4
"24",2000-12-01,6,2.1,3.2,103.7
"25",2001-01-01,5.75,2.2,3,101
"26",2001-02-01,5.75,2.2,2.9,100.2
"27",2001-03-01,5.25,2.2,2.4,101.5
"28",2001-04-01,5,2.4,3.5,105.2
"29",2001-05-01,4.75,2.4,3.9,110.7
"30",2001-06-01,4.75,2.4,3.4,109.3
"31",2001-07-01,4.5,2.5,2.7,102.7
"32",2001-08-01,4.25,2.4,2.8,102.9
"33",2001-09-01,3.75,2.3,2.6,105.7
"34",2001-10-01,3,2.2,1.9,101
"35",2001-11-01,2.5,1.9,0.6,92.2
"36",2001-12-01,2.5,1.9,0.7,91.9
"37",2002-01-01,2.25,2,1.3,94
"38",2002-02-01,2.25,2,1.4,94.4
"39",2002-03-01,2.25,2,1.9,98.1
"40",2002-04-01,2.5,2.1,1.7,99.9
"41",2002-05-01,2.5,2,1.1,99.1
"42",2002-06-01,2.75,1.9,1.2,98
"43",2002-07-01,3,1.9,2.1,99.5
"44",2002-08-01,3,2.1,2.5,102.9
"45",2002-09-01,3,2.1,2.3,103.9
"46",2002-10-01,3,2.1,3.2,106.8
"47",2002-11-01,3,2.3,4.4,105.1
"48",2002-12-01,3,2.2,3.8,98.4
"49",2003-01-01,3,2.2,4.5,108.3
"50",2003-02-01,3,2.3,4.7,113
"51",2003-03-01,3.25,2.2,4.2,115.3
"52",2003-04-01,3.5,2,2.9,106
"53",2003-05-01,3.5,1.9,2.8,103.7
"54",2003-06-01,3.5,1.9,2.6,105.7
"55",2003-07-01,3.25,1.8,2.1,106.2
"56",2003-08-01,3.25,1.7,2,110.7
"57",2003-09-01,3,1.8,2.2,110.6
"58",2003-10-01,3,1.7,1.6,105.7
"59",2003-11-01,3,1.7,1.6,104.4
"60",2003-12-01,3,1.7,2.1,105.1
"61",2004-01-01,2.75,1.7,1.3,107.1
"62",2004-02-01,2.75,1.6,0.7,109.5
"63",2004-03-01,2.5,1.4,0.8,110.6
"64",2004-04-01,2.25,1.6,1.7,112.8
"65",2004-05-01,2.25,1.6,2.4,120.5
"66",2004-06-01,2.25,1.6,2.5,119.4
"67",2004-07-01,2.25,1.7,2.3,117.5
"68",2004-08-01,2.25,1.7,1.8,117.6
"69",2004-09-01,2.5,1.6,1.8,117
"70",2004-10-01,2.75,1.7,2.3,119.5
"71",2004-11-01,2.75,1.9,2.4,117.1
"72",2004-12-01,2.75,1.9,2.1,113.6
"73",2005-01-01,2.75,1.7,1.9,115
"74",2005-02-01,2.75,1.7,2.1,117.5
"75",2005-03-01,2.75,1.9,2.3,121
"76",2005-04-01,2.75,1.8,2.4,124.9
"77",2005-05-01,2.75,1.8,1.6,122.5
"78",2005-06-01,2.75,1.8,1.7,124.1
"79",2005-07-01,2.75,1.7,2,128.3
"80",2005-08-01,2.75,1.7,2.6,132.2
"81",2005-09-01,3,1.8,3.2,142.1
"82",2005-10-01,3.25,1.8,2.6,135.6
"83",2005-11-01,3.25,1.7,2,127.4
"84",2005-12-01,3.5,1.6,2.1,125.2
"85",2006-01-01,3.75,1.8,2.8,132.7
"86",2006-02-01,3.75,1.7,2.2,127.1
"87",2006-03-01,4,1.8,2.2,130
"88",2006-04-01,4.25,1.7,2.4,138.9
"89",2006-05-01,4.5,1.9,2.8,139.8
"90",2006-06-01,4.5,1.7,2.4,138.4
"91",2006-07-01,4.5,2,2.3,142
"92",2006-08-01,4.5,2.2,2.1,141.7
"93",2006-09-01,4.5,2.3,0.7,128.8
"94",2006-10-01,4.5,2.4,1,123.8
"95",2006-11-01,4.5,2.5,1.4,123.8
"96",2006-12-01,4.5,2.5,1.7,127.1
"97",2007-01-01,4.5,2.5,1.1,125.2
"98",2007-02-01,4.5,2.8,2,127.1
"99",2007-03-01,4.5,2.8,2.3,135.9
"100",2007-04-01,4.5,2.8,2.2,139.1
"101",2007-05-01,4.5,2.8,2.2,142
"102",2007-06-01,4.5,2.9,2.2,140.1
"103",2007-07-01,4.75,2.7,2.2,139.6
"104",2007-08-01,4.75,2.5,1.7,136.4
"105",2007-09-01,4.75,2.5,2.5,136.6
"106",2007-10-01,4.75,2.4,2.4,134.5
"107",2007-11-01,4.75,2.2,2.5,136.5
"108",2007-12-01,4.5,2.2,2.4,138.2
"109",2008-01-01,4.25,2.3,2.2,139
"110",2008-02-01,4.25,2.2,1.8,139.4
"111",2008-03-01,3.75,2,1.4,143.2
"112",2008-04-01,3.25,2.3,1.7,150.2
"113",2008-05-01,3.25,2.3,2.2,158.4
"114",2008-06-01,3.25,2.3,3.1,165.3
"115",2008-07-01,3.25,2.5,3.4,169.1
"116",2008-08-01,3.25,2.5,3.5,164
"117",2008-09-01,3.25,2.5,3.4,161.5
"118",2008-10-01,2.5,2.5,2.6,147.5
"119",2008-11-01,2.5,2.7,2,130.7
"120",2008-12-01,1.75,2.7,1.2,123
"121",2009-01-01,1.25,2.5,1.1,123.8
"122",2009-02-01,1.25,2.4,1.4,127.2
"123",2009-03-01,0.75,2.4,1.2,127.1
"124",2009-04-01,0.5,2,0.4,123.9
"125",2009-05-01,0.5,2,0.1,129.4
"126",2009-06-01,0.5,1.9,-0.3,133.9
"127",2009-07-01,0.5,1.6,-0.9,129.6
"128",2009-08-01,0.5,1.5,-0.8,132.6
"129",2009-09-01,0.5,1.3,-0.9,131.3
"130",2009-10-01,0.5,1.3,0.1,128.8
"131",2009-11-01,0.5,1.3,1,132.4
"132",2009-12-01,0.5,1.3,1.3,130.3
"133",2010-01-01,0.5,1.3,1.9,133.9
"134",2010-02-01,0.5,1.3,1.6,132.3
"135",2010-03-01,0.5,1.1,1.4,134.5
"136",2010-04-01,0.5,1.3,1.8,136
"137",2010-05-01,0.5,1.2,1.4,137.4
"138",2010-06-01,0.75,1.1,1,135.7
"139",2010-07-01,1,1.3,1.8,139.8
"140",2010-08-01,1,1.2,1.7,139.2
"141",2010-09-01,1.25,1.3,1.9,138.7
"142",2010-10-01,1.25,1.5,2.4,140.5
"143",2010-11-01,1.25,1.3,2,141.3
"144",2010-12-01,1.25,1.4,2.4,144
"145",2011-01-01,1.25,1.3,2.3,146
"146",2011-02-01,1.25,1.2,2.2,146.3
"147",2011-03-01,1.25,1.6,3.3,151.7
"148",2011-04-01,1.25,1.5,3.3,159.2
"149",2011-05-01,1.25,1.8,3.7,160.2
"150",2011-06-01,1.25,1.8,3.1,157
"151",2011-07-01,1.25,1.8,2.7,157.9
"152",2011-08-01,1.25,2,3.1,157.9
"153",2011-09-01,1.25,2.1,3.2,156
"154",2011-10-01,1.25,2,2.9,156.9
"155",2011-11-01,1.25,2.1,2.9,154.1
"156",2011-12-01,1.25,1.9,2.3,152.7
"157",2012-01-01,1.25,2.1,2.5,155.5
"158",2012-02-01,1.25,2.2,2.6,156.9
"159",2012-03-01,1.25,1.9,1.9,159.5
"160",2012-04-01,1.25,2.1,2,161
"161",2012-05-01,1.25,1.7,1.2,157.7
"162",2012-06-01,1.25,1.5,1.5,155.7
"163",2012-07-01,1.25,1.5,1.3,156
"164",2012-08-01,1.25,1.5,1.2,159.2
"165",2012-09-01,1.25,1.3,1.2,160.6
"166",2012-10-01,1.25,1.3,1.2,159.5
"167",2012-11-01,1.25,1.2,0.8,153.8
"168",2012-12-01,1.25,1.2,0.8,151.9
"169",2013-01-01,1.25,1,0.5,152.8
"170",2013-02-01,1.25,1.2,1.2,160.1
"171",2013-03-01,1.25,1.2,1,159.9
"172",2013-04-01,1.25,0.9,0.4,158
"173",2013-05-01,1.25,1.1,0.7,159.3
"174",2013-06-01,1.25,1.3,1.2,162.1
"175",2013-07-01,1.25,1.3,1.3,164.2
"176",2013-08-01,1.25,1.1,1.1,163
"177",2013-09-01,1.25,1.3,1.1,163
"178",2013-10-01,1.25,1.2,0.7,157
"179",2013-11-01,1.25,1.3,0.9,157.4
"180",2013-12-01,1.25,1.4,1.2,158.9
"181",2014-01-01,1.25,1.5,1.5,160.2
"182",2014-02-01,1.25,1.3,1.1,162.6
"183",2014-03-01,1.25,1.5,1.5,167.2
"184",2014-04-01,1.25,1.6,2,171.2
"185",2014-05-01,1.25,1.8,2.3,172.7
"186",2014-06-01,1.25,1.8,2.4,173
"187",2014-07-01,1.25,1.6,2.1,171.9
"188",2014-08-01,1.25,1.7,2.1,168.3
"189",2014-09-01,1.25,1.7,2,167.4
"190",2014-10-01,1.25,1.7,2.4,163.6
"191",2014-11-01,1.25,1.7,2,156.5
"192",2014-12-01,1.25,1.6,1.5,148.7
"193",2015-01-01,1,1.7,1,139.5
"194",2015-02-01,1,1.6,1,145.1
"195",2015-03-01,1,1.6,1.2,149.8
"196",2015-04-01,1,1.4,0.8,148.1
"197",2015-05-01,1,1.5,0.9,152.4
"198",2015-06-01,1,1.5,1,157.5
"199",2015-07-01,0.75,1.7,1.3,159.2
"200",2015-08-01,0.75,1.6,1.3,156.1
"201",2015-09-01,0.75,1.7,1,149.3
"202",2015-10-01,0.75,1.7,1,146.6
"203",2015-11-01,0.75,1.8,1.4,146.5
"204",2015-12-01,0.75,1.8,1.6,143.4
"205",2016-01-01,0.75,1.8,2,139
"206",2016-02-01,0.75,1.8,1.4,134.6
"207",2016-03-01,0.75,1.8,1.3,138.1
"208",2016-04-01,0.75,1.9,1.7,143.4
"209",2016-05-01,0.75,1.9,1.5,146.9
"210",2016-06-01,0.75,2,1.5,150.6
"211",2016-07-01,0.75,1.9,1.3,147.4
"212",2016-08-01,0.75,1.9,1.1,147
"213",2016-09-01,0.75,1.8,1.3,147.3
"214",2016-10-01,0.75,1.8,1.5,150.2
"215",2016-11-01,0.75,1.6,1.2,146.8
"216",2016-12-01,0.75,1.6,1.5,149.1
"217",2017-01-01,0.75,1.6,2.1,155.8
"218",2017-02-01,0.75,1.5,2,151.1
"219",2017-03-01,0.75,1.4,1.6,149.8
"220",2017-04-01,0.75,1.4,1.6,157.2
"221",2017-05-01,0.75,1.2,1.3,151.8
"222",2017-06-01,0.75,1.2,1,148.7
"223",2017-07-01,1,1.3,1.2,147.8
"224",2017-08-01,1,1.4,1.4,150.4
"225",2017-09-01,1.25,1.4,1.6,154.5
"226",2017-10-01,1.25,1.4,1.4,151.7
"227",2017-11-01,1.25,1.7,2.1,157.9
"228",2017-12-01,1.25,1.8,1.9,155.8
"229",2018-01-01,1.5,1.8,1.7,159.5
"230",2018-02-01,1.5,2,2.2,159.1
"231",2018-03-01,1.5,1.9,2.3,161
"232",2018-04-01,1.5,2,2.2,167.1
"233",2018-05-01,1.5,1.9,2.2,169.4
"234",2018-06-01,1.5,1.9,2.5,167.2
"235",2018-07-01,1.75,2.1,3,168.8
"236",2018-08-01,1.75,2.1,2.8,167.2
"237",2018-09-01,1.75,2,2.2,166.3
"238",2018-10-01,2,2,2.4,163.7
"239",2018-11-01,2,1.9,1.7,155.8
"240",2018-12-01,2,1.9,2,150.1
"241",2019-01-01,2,1.9,1.4,148.5
"242",2019-02-01,2,2,1.5,150.1
"243",2019-03-01,2,2.2,1.9,159.1
"244",2019-04-01,2,2,2,168.2
"245",2019-05-01,2,2.2,2.4,169.2
"246",2019-06-01,2,2.1,2,160.3
"247",2019-07-01,2,2.1,2,163.4
"248",2019-08-01,2,2,1.9,159.3
"249",2019-09-01,2,2,1.9,158.7
"250",2019-10-01,2,2.1,1.9,158.9
"251",2019-11-01,2,2.2,2.2,158.1
"252",2019-12-01,2,2.1,2.2,158.3
"253",2020-01-01,2,2,2.4,158.6
"254",2020-02-01,2,1.9,2.2,156.6
"255",2020-03-01,1,1.8,0.9,140.6
"256",2020-04-01,0.5,1.8,-0.2,128.3
"257",2020-05-01,0.5,1.5,-0.4,137
"258",2020-06-01,0.5,1.7,0.7,146.2
"259",2020-07-01,0.5,1.6,0.1,149.7
"260",2020-08-01,0.5,1.6,0.1,149.3
"261",2020-09-01,0.5,1.7,0.5,149.8
"262",2020-10-01,0.5,1.8,0.7,149.4
"263",2020-11-01,0.5,1.9,1,149.1
"264",2020-12-01,0.5,1.8,0.7,152
"265",2021-01-01,0.5,1.9,1,154.3
"266",2021-02-01,0.5,2,1.1,160.4
"267",2021-03-01,0.5,2.2,2.2,167.4
"268",2021-04-01,0.5,2.4,3.4,170.2
"269",2021-05-01,0.5,2.8,3.6,173.2
"270",2021-06-01,0.5,2.8,3.1,174.7
"271",2021-07-01,0.5,3.2,3.7,179.2
"272",2021-08-01,0.5,3.4,4.1,180.2
"273",2021-09-01,0.5,3.5,4.4,179.9
"274",2021-10-01,0.5,3.5,4.7,187.5
"275",2021-11-01,0.5,3.6,4.7,188.4
"276",2021-12-01,0.5,4,4.8,184.2
"277",2022-01-01,0.5,4.2,5.1,190
"278",2022-02-01,0.5,4.5,5.7,199
"279",2022-03-01,0.75,5,6.7,213.9
"280",2022-04-01,1.25,5.3,6.8,215.1
"281",2022-05-01,1.25,5.6,7.7,233.4
"282",2022-06-01,1.75,5.7,8.1,242.5
"283",2022-07-01,2.75,5.6,7.6,229.4
"284",2022-08-01,2.75,5.4,7,214.5
"285",2022-09-01,3.5,5.5,6.9,205.1
"286",2022-10-01,3.5,5.5,6.9,217.9
"287",2022-11-01,4,5.4,6.8,214.6
"288",2022-12-01,4.5,5.2,6.3,197.7
"289",2023-01-01,4.5,5,5.9,200.3
"290",2023-02-01,4.75,4.7,5.2,197.9
"291",2023-03-01,4.75,4.2,4.3,199.2
"292",2023-04-01,4.75,4.1,4.4,206
"293",2023-05-01,4.75,3.6,3.4,204.4
"294",2023-06-01,5,3.6,2.8,207.2
"295",2023-07-01,5.25,3.5,3.3,210.7
"296",2023-08-01,5.25,3.8,4,218.4
"297",2023-09-01,5.25,3.5,3.8,216.2
"298",2023-10-01,5.25,3.4,3.1,206.2
"299",2023-11-01,5.25,3.5,3.1,202.3
"300",2023-12-01,5.25,3.7,3.4,197
"301",2024-01-01,4.75,3.4,2.9,194.9
"302",2024-02-01,4.75,3.2,2.8,200.4
"303",2024-03-01,4.75,3.2,2.9,204.7
"304",2024-04-01,4.75,2.9,2.7,215.2
"305",2024-05-01,4.75,3.1,2.9,212.8
"306",2024-06-01,4.75,3,2.7,208.3
"307",2024-07-01,4.5,2.8,2.5,211.6
"308",2024-08-01,4.5,2.6,2,208.2
"309",2024-09-01,4.25,2.6,1.6,198.3
"310",2024-10-01,3.75,2.8,2,198.9
"311",2024-11-01,3.75,2.7,1.9,199.5
"312",2024-12-01,3.25,2.5,1.8,199
"313",2025-01-01,3,2.8,1.9,205.3
"314",2025-02-01,3,2.9,2.6,206.4
"315",2025-03-01,2.75,2.9,2.3,204
"316",2025-04-01,2.75,3.1,1.7,187.8
"317",2025-05-01,2.75,3,1.7,189.4
"318",2025-06-01,2.75,3.1,1.9,188.6
"319",2025-07-01,2.75,3.1,1.7,189.5
"320",2025-08-01,2.75,3,1.9,191
"321",2025-09-01,2.5,3.1,2.4,193.1
"322",2025-10-01,2.25,3,2.2,186
"323",2025-11-01,2.25,2.9,2.2,189.4
"324",2025-12-01,2.25,2.7,2.4,181.5
